chicken,beet,0
port,cinema,5
prison,loaf,10
rock,milk,0
replace,roach,5
link,crisis,10
caring,skirt,0
biology,temper,5
copy,bedroom,10
process,joker,0
bullet,walkway,5
mill,feast,10
anger,decay,0
visit,glove,5
capital,figure,10
shrink,mafia,0
nerve,bumper,5
pea,bathtub,10
fan,feature,0
remind,foam,5
bacon,feud,10
bleach,ruin,0
climax,saucer,5
date,laugh,10
bias,sirloin,0
calf,annoy,5
fee,chowder,10
want,ascent,0
need,faucet,5
knock,otter,10
plant,worm,0
find,clown,5
smother,surgery,10
pork,emperor,0
glue,force,5
grip,beach,10
forest,knob,0
banner,glide,5
collect,loyalty,10
risk,zero,0
taxi,nag,5
dip,spray,10
intent,knuckle,0
cottage,inform,5
killer,cracker,10
kid,spoil,0
fail,toaster,5
chapel,wart,10
crane,fool,0
veteran,raft,5
twist,produce,10
belong,broth,0
child,leader,5
blossom,please,10
cash,genius,0
bunch,bond,5
rub,boiled,10
college,proverb,0
board,funeral,5
assist,plaque,10
hair,pub,0
storage,stone,5
essence,cure,10
diamond,fasten,0
sleep,tread,5
rose,herb,10
bath,mailman,0
tank,dwarf,5
percent,elk,10
toy,casket,0
fault,elbow,5
garage,idiot,10
retain,strap,0
gown,nap,5
rest,pole,10
core,lettuce,0
town,depart,5
mission,thesis,10
begin,rubber,0
entry,bowling,5
lake,soak,10
flask,shiver,0
pray,scarf,5
leaf,toad,10
seven,ghetto,0
hat,inhale,5
balcony,latin,10
grandma,stub,0
things,relief,5
pinch,fact,10
highway,push,0
fig,buyer,5
flight,grind,10
letter,flea,0
ritual,rope,5
closet,indoor,10
wrap,suede,0
future,wrench,5
nose,adverb,10
glance,kin,0
quit,defrost,5
cave,senate,10
factor,spike,0
word,apex,5
cattle,jelly,10
